CustomerID,RecommendedCustomerID,SimilarityScore
C0001,C0107,0.9931872512852589
C0001,C0174,0.9808884898183298
C0001,C0048,0.9772046708098396
C0002,C0185,0.9609147695932537
C0002,C0142,0.9585571372942949
C0002,C0005,0.9546051284040888
C0003,C0091,0.9676383916635106
C0003,C0160,0.9280492579155261
C0003,C0026,0.9239276502014012
C0004,C0113,0.982901328849271
C0004,C0104,0.9525626428332157
C0004,C0099,0.9473713013966047
C0005,C0185,0.9975875064178066
C0005,C0135,0.9738162358381397
C0005,C0140,0.9695970946851812
C0006,C0168,0.969424906117516
C0006,C0171,0.9192556708128603
C0006,C0163,0.8835837344030596
C0007,C0159,0.989667897892327
C0007,C0115,0.9851490690711043
C0007,C0092,0.976504071120718
C0008,C0193,0.924495632302907
C0008,C0024,0.9183428550095851
C0008,C0098,0.8984900275479499
C0009,C0197,0.9571670926804303
C0009,C0119,0.9553900022457298
C0009,C0097,0.9522672346822052
C0010,C0166,0.9560745216788948
C0010,C0196,0.9520333378785905
C0010,C0073,0.9329422068792013
C0011,C0048,0.9590132538925017
C0011,C0107,0.9587034856176295
C0011,C0001,0.9463699072633146
C0012,C0153,0.9797542564039354
C0012,C0102,0.9636168145318506
C0012,C0013,0.9596321806549015
C0013,C0102,0.9987413121114604
C0013,C0104,0.9890310809705785
C0013,C0099,0.9888793436973715
C0014,C0060,0.9993670602585065
C0014,C0033,0.9481944487582961
C0014,C0063,0.9439548765409146
C0015,C0033,0.9916690084364339
C0015,C0131,0.9776591866961891
C0015,C0042,0.9572794361167607
C0016,C0154,0.9351555360036917
C0016,C0183,0.9197969440524487
C0016,C0118,0.9052485884024497
C0017,C0175,0.9826411701344913
C0017,C0124,0.9764319664534897
C0017,C0075,0.939879503524458
C0018,C0148,0.9313446519111686
C0018,C0114,0.8969304580692222
C0018,C0079,0.8900919685099472
C0019,C0172,0.9944898019226703
C0019,C0119,0.9388343669458817
C0019,C0069,0.9374602811223891
C0020,C0036,0.973670427993869
C0020,C0050,0.9047695627013083
C0020,C0151,0.8855088589299095
